reid,ruid,clid,total_cost,payment,guests
1,4541,162,2737.15,cash,2
2,3220,186,1837.15,credit card,8
3,774,317,2462.79,pear pay,3
4,3497,233,2694.24,credit card,6
5,3245,183,572.15,credit card,1
6,532,348,1016.96,cash,1
7,1049,352,2175.68,cash,2
8,2345,2,341.64,debit card,3
9,4699,199,2993.48,credit card,2
10,2924,210,1923.22,cash,1
11,65,22,3872.18,credit card,4
12,2228,363,4491.3,pear pay,4
13,4820,322,2886.7,credit card,2
14,470,248,4695.6,cash,1
15,1547,373,1151.02,pear pay,1
16,2343,5,1880.9,cash,2
17,162,10,2459.86,pear pay,1
18,1470,197,488.04,credit card,1
19,4275,292,1434.3,credit card,1
20,1485,222,1108.2,credit card,1
21,1796,17,1993.03,check,1
22,1534,25,258.93,debit card,1
23,1799,301,2858.94,check,1
24,3192,375,456.47,credit card,1
25,2571,281,1040.65,cash,1
26,2731,262,1067.55,credit card,2
27,4072,119,1275.78,check,2
28,4393,119,959.88,credit card,2
29,277,169,1220.5,credit card,1
30,498,282,483.4,credit card,1
31,2604,17,267.96,credit card,1
32,795,317,835.5,credit card,4
33,3827,220,671.22,cash,1
34,1263,317,2126.3,credit card,3
35,132,299,936.15,cash,4
36,4490,132,387.2,credit card,1
37,4440,282,1251.36,cash,2
38,2835,100,950.18,pear pay,1
39,3789,167,2516.64,credit card,4
40,1224,202,1407.14,credit card,2
41,4975,52,489.9,credit card,2
42,4482,321,1492.68,credit card,2
43,3606,259,676.12,check,3
44,4833,143,2971.36,cash,2
45,32,51,462.6,credit card,4
46,40,322,2360.4,credit card,4
47,560,351,598.84,debit card,1
48,4432,122,776.58,check,2
49,2722,310,927.45,cash,2
50,1802,108,291.63,credit card,1
51,2884,213,1124.27,credit card,2
52,3784,258,1977.5,pear pay,2
53,2558,70,1533.35,check,2
54,2174,192,631.82,check,1
55,1368,208,314.35,cash,1
56,868,166,4538.24,credit card,5
57,4806,319,2886.9,pear pay,6
58,2401,278,1498.42,credit card,1
59,3340,33,6408.22,credit card,2
60,1009,398,598.59,check,1
61,427,20,4381.63,check,3
62,4463,160,1384.47,cash,2
63,789,281,984.15,credit card,3
64,4018,255,1149.61,check,3
65,4616,34,1053.2,check,1
66,2676,32,1436.65,cash,4
67,2202,168,2642.28,cash,4
68,4569,397,2022.44,cash,6
69,2953,34,337.68,pear pay,1
70,2988,357,1665.32,debit card,1
71,4191,337,573.95,check,1
72,1653,392,868.49,credit card,1
73,4404,127,1784.97,credit card,1
74,4342,17,1186.9,credit card,2
75,806,303,1433.95,check,5
76,3808,258,1193.88,cash,3
77,2877,77,1383.12,cash,1
78,2740,68,851.65,cash,3
79,895,156,1947.1,pear pay,4
80,4283,241,713.5,check,2
81,2779,207,1571.68,pear pay,2
82,900,48,831.48,check,1
83,4362,58,1461.98,cash,1
84,3122,114,1733.34,pear pay,3
85,2158,49,969.12,credit card,2
86,4397,71,244.2,cash,1
87,3797,114,506.43,credit card,2
88,4112,224,437.37,credit card,1
89,604,319,447.81,credit card,2
